	X1		X2
  -3.8693015e+00  -1.6527196e-01
   1.0871334e+00  -4.1044014e-01
  -7.3979611e-01   2.0457035e+00
  -1.5894962e+00   9.6843706e-02
   7.7254851e-01   1.7825376e+00
   9.9749113e-01   2.2458777e+00
   6.6250183e-01   2.7112030e+00
  -3.6458435e+00   8.0924622e-01
  -1.7363196e+00  -2.2636024e+00
   2.0628088e+00  -7.1617197e+00
  -5.0363349e+00  -1.3191938e+00
   5.1925310e+00  -9.4901726e-01
  -1.4145490e-01   1.8529081e+00
  -9.8851352e-02   4.6019547e-01
  -1.5102258e+00   1.5775688e+00
   2.0625817e+00  -4.2968166e+00
  -4.2284012e+00  -2.3589070e+00
   1.5979364e+00  -3.0903751e+00
  -3.6610019e+00   3.1602669e+00
  -6.3472631e-01   2.1605706e+00
   4.4600234e+00  -1.5686289e+00
   3.6371720e+00  -2.8685783e+00
  -3.1284269e-01  -1.4857258e+00
   1.6488609e+00  -1.1406018e+00
   1.1948794e+00  -7.0637366e+00
  -1.3460528e+00  -5.9300088e+00
  -2.0368340e+00   1.7334048e+00
   1.3219756e+00   2.3027392e+00
   5.3171139e-01   1.9066271e+00
   3.2726622e-01  -1.3016754e+00
  -3.5535148e-01   1.3731391e+00
  -2.5850844e+00   3.1327390e-02
   1.3438495e+00   6.9090015e-01
   2.2246317e+00   9.5304413e-01
   3.3650438e+00   9.9140831e-01
  -3.3262021e+00  -8.3695590e-02
   8.0109193e-01  -4.0412545e+00
   5.3036725e+00  -4.8619106e+00
   7.0266800e-01   1.8722440e+00
   2.7954386e+00  -4.4716261e+00
   4.0721862e+00  -1.5492943e+00
   6.4041024e+00  -3.1686410e-01
   1.3105712e-01   1.8301249e+00
   1.7092887e+00  -1.8121729e+00
  -2.7779768e+00   1.3380088e+00
  -3.9225022e+00  -1.1351485e+00
   2.0455076e+00  -1.6930999e-01
  -5.6725231e-01   2.9408717e+00
  -1.5470237e+00   2.3115691e+00
  -9.5926591e-01   2.1958084e+00
  -2.7860614e+00   2.5379349e+00
   2.1091041e+00  -2.9752993e+00
   4.3446014e-01   2.0968455e+00
   6.6355178e-02   2.3859606e+00
  -2.7040979e+00  -1.3111032e+00
   3.0528547e-01   3.1791608e+00
   1.3039230e+00  -2.1513399e-01
  -3.3558331e-01   3.2285789e+00
   5.8656598e-01  -5.2512685e+00
   1.3515794e+00  -5.0385782e+00
   2.3560826e+00   1.1128379e+00
  -4.7095416e+00  -5.9161395e-01
   3.1213946e+00  -2.5564884e+00
  -3.5657474e+00  -9.2660936e-01
  -3.1532311e-01   1.0846269e+00
   2.7920493e+00  -1.6200957e+00
   3.1082891e+00   4.5894521e+00
   2.1225168e+00  -3.0173289e+00
   6.9884612e-01  -2.8918587e+00
   2.2871448e+00  -2.5002795e+00
   1.4808846e+00  -3.3346539e+00
  -1.9387255e+00   1.3176511e+00
   1.2107199e+00   2.3318860e+00
   1.1790991e+00  -4.4585101e+00
  -3.8511898e+00  -8.4537143e-01
   1.0209613e+00   7.9662705e-01
   3.1070793e+00  -1.7891873e+00
  -2.5117606e+00  -8.0957549e-01
   1.6754001e+00  -3.0546135e+00
   1.8007603e+00   1.1615648e+00
   3.4564950e+00  -1.3277322e-01
   3.0585766e+00   7.9956835e-01
   3.0592416e-01  -5.1366848e+00
  -2.4907203e+00  -1.2042696e+00
   1.0081853e+00   7.3874020e-01
   2.7625374e-01  -1.8418318e+00
  -2.5331725e+00  -2.8965779e-01
   9.2220508e-01  -5.7773915e+00
   1.2636999e-01  -1.2878030e-01
   1.9772676e+00  -5.5592167e+00
   9.1135309e-01   2.0050309e+00
   3.9492382e+00  -3.6882958e+00
  -1.4481350e+00  -1.7980328e+00
   3.2055940e+00  -2.4504166e+00
  -2.4250347e+00  -5.8439969e-01
  -1.8306292e+00   5.7580119e-01
   2.2030303e+00  -2.5927700e+00
   2.1664029e-01  -3.8697427e+00
  -1.1708696e+00   1.7335515e+00
  -2.6047784e-01  -4.5380580e+00
  -2.6945323e+00  -5.4176703e-02
   3.1721231e+00  -3.4573542e+00
   2.4124486e-01  -3.2813104e+00
  -3.2716085e+00  -3.3787106e+00
   2.2044381e+00   4.2245149e+00
   3.7109791e+00  -4.7609900e+00
  -7.9870235e-01   2.0817554e+00
   1.1690256e+00   2.8065139e-01
  -4.4550610e-01  -4.5707596e+00
  -1.6991980e-01  -5.0518571e+00
  -3.2379725e-01   1.9005085e+00
   1.2101668e+00   2.0990289e+00
   1.1882781e+00  -3.1766715e+00
   3.7509018e+00  -3.0085589e+00
  -1.8409717e+00   2.0927666e+00
   5.8388408e-01  -2.3821495e+00
   7.7760146e-02   3.9108950e-01
  -1.4798272e+00  -1.2614353e+00
   3.3249855e+00  -2.6133412e+00
  -1.0452005e-01   1.7119457e+00
